Date,Location,Daily Max Temperature,Air Quality PM2.5,RH,Temperature,Building Density,Population Density,Latitude,Longitude,Clothing Factor,Activity Level,DI_1,DI_2,DI_3,Urban Heat Risk Composite,Urban Heat Risk,Risk Class
2025-02-02,Penrith ,27.8,1.9916250060002,70.7861258188884,19.9945000012716,368903.5,12093,-33.7511954,150.6941711,3.5,4,38120.05473766476,20275.66528762405,39322.80126883263,3.7,0.8333333333333335,High
2025-02-03,Penrith ,31.2,1.45570832490921,69.2474575042725,19.8332080841064,368903.5,12093,-33.7511954,150.6941711,4.0,4,38119.59502475858,20275.288776895402,39322.48915399611,4.0,1.0,High
2025-02-04,Penrith ,33.7,1.44125000139078,62.5679998397827,20.1123334566752,368903.5,12093,-33.7511954,150.6941711,3.0,4,38118.4414250051,20274.40447084034,39322.068179193884,3.4,0.6666666666666665,High
2025-02-05,Penrith ,34.5,2.11608336369197,55.6179167429606,21.1391251881917,368903.5,12093,-33.7511954,150.6941711,3.0,4,38117.42692924142,20273.71988131304,39321.76628965835,3.4,0.6666666666666665,High
2025-02-06,Penrith ,35.3,2.47052376610892,51.6091245015462,22.6164577802022,368903.5,12093,-33.7511954,150.6941711,3.0,4,38117.10381461098,20273.541061685195,39321.90019886153,3.4,0.6666666666666665,High
2025-02-07,Penrith ,31.9,4.60758328437805,46.6280832290649,23.9177082379659,368903.5,12093,-33.7511954,150.6941711,3.0,3,38116.61168744564,20273.239777036506,39321.914385370415,3.0,0.4444444444444444,Medium
2025-02-08,Penrith ,35.0,4.81891663869222,43.0135825475057,25.3739584287008,368903.5,12093,-33.7511954,150.6941711,2.0,4,38116.54679570199,20273.343364485107,39322.273189536725,2.8,0.33333333333333326,Medium
2025-02-09,Penrith ,33.9,3.58437502384186,43.0169165929159,26.6465001106262,368903.5,12093,-33.7511954,150.6941711,2.0,4,38116.80577085416,20273.47681877017,39322.65718544919,2.8,0.33333333333333326,Medium
2025-02-10,Penrith ,31.1,2.83013886213303,42.8976249694824,28.0342084566752,368903.5,12093,-33.7511954,150.6941711,2.0,5,38117.22280141711,20273.89271668891,39323.143242399885,3.2,0.5555555555555556,Medium
2025-02-11,Penrith ,24.2,4.43229166666667,42.4293746948242,28.08762550354,368903.5,12093,-33.7511954,150.6941711,2.0,4,38117.205391756695,20273.87615633011,39323.145220979044,2.8,0.33333333333333326,Medium
2025-02-12,Penrith ,29.1,5.70050001144409,43.6792084376017,28.3403752644857,368903.5,12093,-33.7511954,150.6941711,2.0,4,38117.658004268014,20274.31705008348,39323.42207718689,2.8,0.33333333333333326,Medium
